id,P_mean,label,p_tolerance,ui_tolerance,U_array,I_array
mayep_1754815534929,27.476,mayep,0.7,0.7,"[-260.7556457519531, -265.7345886230469, -270.35882568359375, -274.71923828125, -278.68695068359375, -282.3231201171875, -285.69451904296875, -288.7599182128906, -291.5045471191406, -293.93682861328125, -296.0578308105469, -297.8822021484375, -299.4892578125, -300.8559265136719, -302.05157470703125, -303.069580078125, -303.90155029296875, -304.51129150390625, -304.94610595703125, -305.178466796875, -305.20196533203125, -305.00555419921875, -304.5916442871094, -303.9723815917969, -303.13323974609375, -302.1044006347656, -300.8597106933594, -299.3861389160156, -297.6541442871094, -295.6222839355469, -293.213134765625, -290.44439697265625, -287.27276611328125, -283.6861572265625, -279.7491455078125, -275.4530334472656, -270.7885437011719, -265.7611999511719, -260.29266357421875, -254.46243286132812, -248.26966857910156, -241.6593017578125, -234.7010955810547, -227.4693603515625, -219.94277954101562, -212.22003173828125, -204.2393341064453, -196.03778076171875, -187.68685913085938, -179.10293579101562, -170.3652801513672, -161.5491180419922, -152.6661376953125, -143.68521118164062, -134.55499267578125, -125.28543853759766, -116.02714538574219, -106.75416564941406, -97.50789642333984, -88.23558807373047, -78.94014739990234, -69.62500762939453, -60.24980545043945, -50.860382080078125, -41.54338073730469, -32.3072509765625, -23.09773826599121, -13.80019474029541, -4.410470008850098, 4.9288201332092285, 14.281380653381348, 23.69261932373047, 32.99225997924805, 42.38771438598633, 51.81739044189453, 61.34995651245117, 70.93363189697266, 80.4454574584961, 89.94642639160156, 99.46149444580078, 108.91558074951172, 118.33544158935547, 127.732421875, 137.03561401367188, 146.19837951660156, 155.24099731445312, 164.12620544433594, 172.83714294433594, 181.39987182617188, 189.8003692626953, 198.05459594726562, 206.0774383544922, 213.83407592773438, 221.25807189941406, 228.50526428222656, 235.48683166503906, 242.1801300048828, 248.59596252441406, 254.62359619140625, 260.2118835449219, 265.3726806640625, 270.16400146484375, 274.6762390136719, 278.89788818359375, 282.7945861816406, 286.41229248046875, 289.7403869628906, 292.79888916015625, 295.5929260253906, 298.1092529296875, 300.2774658203125, 302.07525634765625, 303.55169677734375, 304.6834411621094, 305.51336669921875, 306.120361328125, 306.50970458984375, 306.69207763671875, 306.6510009765625, 306.41778564453125, 305.9765930175781, 305.377197265625, 304.62640380859375, 303.72802734375, 302.64569091796875, 301.40966796875, 300.0027160644531, 298.3740234375, 296.5447692871094, 294.4601135253906, 292.0652160644531, 289.3638000488281, 286.32354736328125, 282.93524169921875, 279.17950439453125, 274.9793701171875, 270.518798828125, 265.6657409667969, 260.487548828125, 254.88491821289062, 248.79364013671875, 242.23193359375, 235.29266357421875, 228.01739501953125, 220.41307067871094, 212.6066436767578, 204.48072814941406, 196.10894775390625, 187.46206665039062, 178.6425018310547, 169.7233428955078, 160.68988037109375, 151.5692596435547, 142.37489318847656, 133.12496948242188, 123.82307434082031, 114.51626586914062, 105.18600463867188, 95.83078002929688, 86.45714569091797, 77.10465240478516, 67.68783569335938, 58.28135681152344, 48.8493537902832, 39.47380447387695, 30.138362884521484, 20.7578125, 11.339278221130371, 1.943032145500183, -7.454678058624268, -16.85280418395996, -26.146865844726562, -35.49235534667969, -44.822383880615234, -54.27185821533203, -63.67985916137695, -72.99366760253906, -82.26561737060547, -91.49591064453125, -100.6226806640625, -109.74691772460938, -118.9408950805664, -128.00845336914062, -136.9950408935547, -145.804931640625, -154.6344451904297, -163.3617401123047, -171.907470703125, -180.2508544921875, -188.40411376953125, -196.2307586669922, -203.77804565429688, -211.11849975585938, -218.17300415039062, -224.9949951171875, -231.5592498779297, -237.87124633789062, -243.93011474609375, -249.80084228515625, -255.42391967773438]","[-0.06455989927053452, -0.07010997831821442, -0.07611437141895294, -0.08274766057729721, -0.0898035392165184, -0.09722013771533966, -0.10500361025333405, -0.11316478252410889, -0.12152181565761566, -0.13017256557941437, -0.13899102807044983, -0.14793384075164795, -0.15698249638080597, -0.16598165035247803, -0.17498686909675598, -0.1838008016347885, -0.19242149591445923, -0.2006857842206955, -0.20867133140563965, -0.21613407135009766, -0.22309958934783936, -0.22938844561576843, -0.23516325652599335, -0.24026694893836975, -0.24464212357997894, -0.24837975203990936, -0.2513759136199951, -0.2535877525806427, -0.25487464666366577, -0.2551698684692383, -0.2542116940021515, -0.2519937753677368, -0.24842506647109985, -0.2435765415430069, -0.23749321699142456, -0.23019157350063324, -0.22164228558540344, -0.21179063618183136, -0.20056523382663727, -0.18813998997211456, -0.174671471118927, -0.16029630601406097, -0.14532357454299927, -0.1299871802330017, -0.11450859904289246, -0.09925251454114914, -0.0843234658241272, -0.07000098377466202, -0.05671106278896332, -0.04439590871334076, -0.0333060659468174, -0.023553118109703064, -0.014908399432897568, -0.007282047998160124, -0.0005233616684563458, 0.005451672710478306, 0.010577046312391758, 0.014969896525144577, 0.018746258690953255, 0.021877344697713852, 0.024451980367302895, 0.026617174968123436, 0.02833249792456627, 0.029644526541233063, 0.030587775632739067, 0.03131832182407379, 0.03188709542155266, 0.03234022855758667, 0.032740529626607895, 0.033048421144485474, 0.03331681713461876, 0.03354945033788681, 0.03371899202466011, 0.03388432040810585, 0.03405707702040672, 0.03425665572285652, 0.03446045145392418, 0.03467351943254471, 0.03490456938743591, 0.03515995666384697, 0.035415031015872955, 0.03565381094813347, 0.03588397800922394, 0.03609883785247803, 0.0363188162446022, 0.03652871772646904, 0.03673820197582245, 0.03693068027496338, 0.03711169958114624, 0.03734831139445305, 0.037677958607673645, 0.03815070912241936, 0.03876790404319763, 0.03957504406571388, 0.04065444692969322, 0.041946206241846085, 0.043528396636247635, 0.04555659741163254, 0.048125263303518295, 0.05124165862798691, 0.055149052292108536, 0.0599459707736969, 0.06561418622732162, 0.07218039780855179, 0.07955555617809296, 0.08777457475662231, 0.09665703028440475, 0.10609158873558044, 0.11607366055250168, 0.1265050619840622, 0.13718272745609283, 0.14781343936920166, 0.15833058953285217, 0.16858887672424316, 0.17854611575603485, 0.18808744847774506, 0.1972520500421524, 0.20595119893550873, 0.21403248608112335, 0.22143322229385376, 0.22806183993816376, 0.23399418592453003, 0.23915638029575348, 0.2435998022556305, 0.2472115308046341, 0.2501457631587982, 0.2523054778575897, 0.2536158561706543, 0.2541096806526184, 0.2537417411804199, 0.2523152828216553, 0.24989525973796844, 0.24651141464710236, 0.24210086464881897, 0.23658642172813416, 0.22992098331451416, 0.22245973348617554, 0.21404287219047546, 0.2047184407711029, 0.19440549612045288, 0.1830267459154129, 0.1707070916891098, 0.15754981338977814, 0.14370380342006683, 0.12937253713607788, 0.11480661481618881, 0.09993498027324677, 0.0849902480840683, 0.07008668035268784, 0.05557755008339882, 0.041885413229465485, 0.029195493087172508, 0.017778344452381134, 0.007590357214212418, -0.001178061356768012, -0.008629980497062206, -0.014930316247045994, -0.019994817674160004, -0.023933392018079758, -0.026842433959245682, -0.028852201998233795, -0.030235571786761284, -0.03120928816497326, -0.031805336475372314, -0.03221089020371437, -0.032541655004024506, -0.03276330605149269, -0.0329165980219841, -0.033023376017808914, -0.03311233967542648, -0.03319358825683594, -0.033284444361925125, -0.03342091664671898, -0.033606816083192825, -0.03381605073809624, -0.03402184695005417, -0.03422335535287857, -0.03441239893436432, -0.03461798280477524, -0.03484716638922691, -0.03508773446083069, -0.035341840237379074, -0.03558811917901039, -0.0358259417116642, -0.036065105348825455, -0.03635013476014137, -0.0366721972823143, -0.03702400252223015, -0.03741219639778137, -0.03787115216255188, -0.038462262600660324, -0.0393376350402832, -0.04046220704913139, -0.04183894768357277, -0.04361577704548836, -0.04580151289701462, -0.048397649079561234, -0.05153727903962135, -0.055271342396736145, -0.05960549786686897]"
sacmt_1754817086758,75.235,sacmt,0.7,0.7,"[-21.90532684326172, -12.585902214050293, -3.178572654724121, 6.2719197273254395, 15.75305461883545, 25.194059371948242, 34.71794509887695, 44.24551773071289, 53.78728103637695, 63.40165710449219, 73.03419494628906, 82.66154479980469, 92.17306518554688, 101.65177917480469, 111.0331802368164, 120.40230560302734, 129.66009521484375, 138.85162353515625, 147.89434814453125, 156.81356811523438, 165.56895446777344, 174.18873596191406, 182.72940063476562, 191.11163330078125, 199.2869415283203, 207.26138305664062, 214.98216247558594, 222.3943634033203, 229.56036376953125, 236.3983612060547, 242.87637329101562, 249.0120391845703, 254.83265686035156, 260.3320617675781, 265.5516662597656, 270.4878845214844, 275.0930480957031, 279.35479736328125, 283.302734375, 286.9183044433594, 290.1711120605469, 293.0879821777344, 295.699951171875, 298.026123046875, 300.0325012207031, 301.75592041015625, 303.24957275390625, 304.5111389160156, 305.58612060546875, 306.47625732421875, 307.1797790527344, 307.71630859375, 308.0888366699219, 308.3305969238281, 308.4189453125, 308.3804016113281, 308.2267150878906, 307.9486389160156, 307.54400634765625, 306.9940490722656, 306.25823974609375, 305.2939453125, 304.072509765625, 302.58990478515625, 300.7940673828125, 298.56964111328125, 295.9053955078125, 292.7471923828125, 289.0489807128906, 284.7701721191406, 279.950927734375, 274.5805969238281, 268.7044677734375, 262.3460388183594, 255.59324645996094, 248.44285583496094, 240.95245361328125, 233.22076416015625, 225.2222442626953, 217.01480102539062, 208.58544921875, 200.01463317871094, 191.26327514648438, 182.3941192626953, 173.37985229492188, 164.21243286132812, 154.9104461669922, 145.51034545898438, 135.9836883544922, 126.3886489868164, 116.70207977294922, 106.91419219970703, 97.15191650390625, 87.37850189208984, 77.61998748779297, 67.9585952758789, 58.3210563659668, 48.71570587158203, 39.17457580566406, 29.675968170166016, 20.206668853759766, 10.799610137939453, 1.3707737922668457, -7.986149311065674, -17.395097732543945, -26.847412109375, -36.28139877319336, -45.784244537353516, -55.311973571777344, -64.83846282958984, -74.39803314208984, -84.03089904785156, -93.69570922851562, -103.4248275756836, -113.06111145019531, -122.65734100341797, -132.20779418945312, -141.61827087402344, -150.92051696777344, -160.0183868408203, -168.88357543945312, -177.52662658691406, -185.8847198486328, -194.03623962402344, -201.95870971679688, -209.67086791992188, -217.1040802001953, -224.37802124023438, -231.3674774169922, -238.17776489257812, -244.73690795898438, -250.9910125732422, -256.9360656738281, -262.5627136230469, -267.8339538574219, -272.7145080566406, -277.2497863769531, -281.3960876464844, -285.2034606933594, -288.6150207519531, -291.6442565917969, -294.35479736328125, -296.786376953125, -298.9708251953125, -300.9136047363281, -302.6044006347656, -304.0645751953125, -305.27886962890625, -306.26446533203125, -307.042236328125, -307.6169128417969, -308.002685546875, -308.22607421875, -308.312744140625, -308.2558288574219, -308.04559326171875, -307.6797180175781, -307.1409606933594, -306.4263916015625, -305.50384521484375, -304.31890869140625, -302.87353515625, -301.158935546875, -299.1604309082031, -296.8551330566406, -294.2078552246094, -291.2057189941406, -287.8119812011719, -284.028076171875, -279.8011474609375, -275.0960998535156, -269.9179382324219, -264.3087158203125, -258.28192138671875, -251.90304565429688, -245.12481689453125, -237.9963836669922, -230.45704650878906, -222.59088134765625, -214.51524353027344, -206.13250732421875, -197.56346130371094, -188.82525634765625, -179.9496307373047, -170.94439697265625, -161.83209228515625, -152.63475036621094, -143.45733642578125, -134.2245330810547, -124.97055053710938, -115.6826171875, -106.30323791503906, -96.96736145019531, -87.6270751953125, -78.22245025634766, -68.8414077758789, -59.47254180908203, -50.05691909790039, -40.647769927978516, -31.248638153076172]","[0.09444651007652283, 0.09527083486318588, 0.0967644453048706, 0.0990406945347786, 0.10213939845561981, 0.1061602234840393, 0.11143390834331512, 0.11797825992107391, 0.1259405016899109, 0.13533397018909454, 0.14584971964359283, 0.15678547322750092, 0.1676931530237198, 0.17880934476852417, 0.19033899903297424, 0.20229429006576538, 0.21445858478546143, 0.2269812971353531, 0.23946091532707214, 0.2520041763782501, 0.2650209963321686, 0.27884769439697266, 0.29328739643096924, 0.30781203508377075, 0.3219410181045532, 0.33551377058029175, 0.3484534025192261, 0.36066725850105286, 0.3724125027656555, 0.38358962535858154, 0.39413896203041077, 0.40431901812553406, 0.41446763277053833, 0.4246320128440857, 0.4349777102470398, 0.4454129636287689, 0.4557408094406128, 0.4659262001514435, 0.4759436249732971, 0.4857006072998047, 0.495036780834198, 0.5038240551948547, 0.5120223760604858, 0.519710123538971, 0.5268858671188354, 0.5336316227912903, 0.5399340391159058, 0.5457799434661865, 0.5510728359222412, 0.5557947754859924, 0.5598406195640564, 0.5631155967712402, 0.5656121969223022, 0.5674024224281311, 0.5683488845825195, 0.5684819221496582, 0.5679172277450562, 0.5664582848548889, 0.5639554262161255, 0.5601418614387512, 0.5546278357505798, 0.5469864010810852, 0.5370056629180908, 0.5247654914855957, 0.5100207328796387, 0.492096483707428, 0.4711191952228546, 0.4472332298755646, 0.4205694794654846, 0.3913986086845398, 0.3605635464191437, 0.3286249041557312, 0.29616233706474304, 0.263306587934494, 0.23076960444450378, 0.19915518164634705, 0.16860130429267883, 0.1394955813884735, 0.11193639039993286, 0.08615583181381226, 0.06200024485588074, 0.03965739905834198, 0.01902148313820362, 0.00017928816669154912, -0.01697217859327793, -0.03216176852583885, -0.04540994390845299, -0.05684785917401314, -0.0664028599858284, -0.07417356222867966, -0.0803554356098175, -0.0851610004901886, -0.08865933865308762, -0.09112635999917984, -0.09274131059646606, -0.09372182935476303, -0.0942559763789177, -0.0945386290550232, -0.09464824199676514, -0.09473763406276703, -0.09490378946065903, -0.09522505104541779, -0.09587494283914566, -0.09680148214101791, -0.09819408506155014, -0.10007484257221222, -0.10271801054477692, -0.10655055195093155, -0.11190056800842285, -0.11885488033294678, -0.12762944400310516, -0.13831721246242523, -0.150857612490654, -0.16512556374073029, -0.18087825179100037, -0.19794681668281555, -0.21555611491203308, -0.23278744518756866, -0.24921318888664246, -0.2646206021308899, -0.27908506989479065, -0.29262304306030273, -0.3050810992717743, -0.31665876507759094, -0.3274379372596741, -0.3377717137336731, -0.3481588363647461, -0.35926392674446106, -0.37091755867004395, -0.38310080766677856, -0.3951849043369293, -0.4068589508533478, -0.4181469976902008, -0.42908692359924316, -0.43962040543556213, -0.4497154951095581, -0.4594026803970337, -0.4685990810394287, -0.47749969363212585, -0.4859851896762848, -0.4942459464073181, -0.5025139451026917, -0.5107265710830688, -0.5187292098999023, -0.5264681577682495, -0.5337715148925781, -0.5404860377311707, -0.546453595161438, -0.5516566038131714, -0.5561262965202332, -0.5598878264427185, -0.5628140568733215, -0.5649232268333435, -0.5662060379981995, -0.5664857029914856, -0.5655788779258728, -0.5633881688117981, -0.559695839881897, -0.5545093417167664, -0.5475930571556091, -0.5386545062065125, -0.5279118418693542, -0.5155394673347473, -0.5015156865119934, -0.4857743978500366, -0.4682750403881073, -0.44910091161727905, -0.4281470775604248, -0.40556061267852783, -0.3814323842525482, -0.35566505789756775, -0.3283098340034485, -0.299686074256897, -0.2702198028564453, -0.2404462844133377, -0.21060815453529358, -0.18118372559547424, -0.1524585336446762, -0.12473218142986298, -0.09867912530899048, -0.07467140257358551, -0.052757613360881805, -0.03277856111526489, -0.014568974263966084, 0.0020597544498741627, 0.017001161351799965, 0.03032992035150528, 0.04187227040529251, 0.05191950500011444, 0.060730136930942535, 0.0682172179222107, 0.0745195671916008, 0.07969638705253601, 0.08383998274803162, 0.08699449151754379, 0.0893372967839241, 0.09112705290317535, 0.09241092205047607, 0.09328636527061462, 0.09391274303197861]"
maysay_1754817173248,342.035,maysay,0.7,0.7,"[-276.29425048828125, -279.7450256347656, -282.8824768066406, -285.706787109375, -288.24658203125, -290.487060546875, -292.4264221191406, -294.1082763671875, -295.5439453125, -296.7093505859375, -297.6392517089844, -298.3645935058594, -298.9075622558594, -299.2847595214844, -299.50579833984375, -299.5790100097656, -299.5233459472656, -299.3443298339844, -299.04180908203125, -298.58966064453125, -297.9678039550781, -297.1607360839844, -296.167236328125, -294.96112060546875, -293.4723815917969, -291.68414306640625, -289.5546569824219, -287.0220031738281, -284.0736999511719, -280.67559814453125, -276.81201171875, -272.51123046875, -267.8245849609375, -262.78240966796875, -257.39654541015625, -251.64759826660156, -245.60211181640625, -239.26853942871094, -232.62744140625, -225.7174835205078, -218.5559844970703, -211.15798950195312, -203.5236053466797, -195.63278198242188, -187.50656127929688, -179.1875762939453, -170.6847686767578, -161.99549865722656, -153.1737060546875, -144.21974182128906, -135.1376495361328, -125.9224624633789, -116.66541290283203, -107.43634033203125, -98.2080307006836, -89.0057144165039, -79.81709289550781, -70.63192749023438, -61.44559860229492, -52.25798034667969, -43.06526184082031, -33.916282653808594, -24.78014373779297, -15.624897956848145, -6.503715991973877, 2.6524951457977295, 11.87409496307373, 21.10077667236328, 30.307769775390625, 39.54707717895508, 48.81867599487305, 58.18613815307617, 67.63813781738281, 77.19134521484375, 86.84803771972656, 96.49109649658203, 106.117919921875, 115.68354034423828, 125.21658325195312, 134.67897033691406, 144.02304077148438, 153.22262573242188, 162.221435546875, 171.02723693847656, 179.58599853515625, 187.97720336914062, 196.22129821777344, 204.35679626464844, 212.3564910888672, 220.10806274414062, 227.6278533935547, 234.86834716796875, 241.88304138183594, 248.59703063964844, 255.01380920410156, 261.0611877441406, 266.7030029296875, 271.86187744140625, 276.5529479980469, 280.79071044921875, 284.58599853515625, 287.95623779296875, 290.951904296875, 293.5927734375, 295.9031982421875, 297.9161071777344, 299.6304016113281, 301.0613098144531, 302.21258544921875, 303.0960388183594, 303.717529296875, 304.1273193359375, 304.3688659667969, 304.43841552734375, 304.34820556640625, 304.0963439941406, 303.68536376953125, 303.1405029296875, 302.4465637207031, 301.5941467285156, 300.5466613769531, 299.3358459472656, 297.9841003417969, 296.48358154296875, 294.7911376953125, 292.9261779785156, 290.84161376953125, 288.46099853515625, 285.7540283203125, 282.68902587890625, 279.1938171386719, 275.2525939941406, 270.8289489746094, 265.9463195800781, 260.6094665527344, 254.73272705078125, 248.38131713867188, 241.5906219482422, 234.34219360351562, 226.66403198242188, 218.6653289794922, 210.36807250976562, 201.89907836914062, 193.26002502441406, 184.47276306152344, 175.57713317871094, 166.565673828125, 157.52493286132812, 148.45095825195312, 139.3235321044922, 130.09848022460938, 120.8674087524414, 111.5121078491211, 102.10482025146484, 92.6638412475586, 83.24076843261719, 73.79612731933594, 64.30583190917969, 54.799381256103516, 45.302391052246094, 35.88351821899414, 26.51303482055664, 17.198320388793945, 7.9061784744262695, -1.3418101072311401, -10.625911712646484, -19.907180786132812, -29.123109817504883, -38.31032943725586, -47.464412689208984, -56.639034271240234, -65.85945892333984, -75.02059936523438, -84.11660766601562, -93.19610595703125, -102.19695281982422, -111.11392211914062, -119.99876403808594, -128.81114196777344, -137.56602478027344, -146.2340087890625, -154.78163146972656, -163.2392578125, -171.6061553955078, -179.835205078125, -187.87718200683594, -195.72576904296875, -203.3319091796875, -210.6677703857422, -217.7169189453125, -224.4612274169922, -230.92584228515625, -237.12034606933594, -243.0458221435547, -248.67227172851562, -254.0264434814453, -259.10797119140625, -263.9100341796875, -268.3900146484375, -272.5227966308594]","[-2.422095775604248, -2.4764366149902344, -2.5262176990509033, -2.5713887214660645, -2.612384796142578, -2.648841142654419, -2.680544137954712, -2.7081799507141113, -2.7319116592407227, -2.7514193058013916, -2.7672688961029053, -2.779909610748291, -2.7897255420684814, -2.7969160079956055, -2.801605224609375, -2.803928852081299, -2.8041892051696777, -2.802551746368408, -2.799142599105835, -2.793694019317627, -2.78609299659729, -2.7761802673339844, -2.7639858722686768, -2.7491917610168457, -2.730991840362549, -2.709015130996704, -2.6827080249786377, -2.651090621948242, -2.6138668060302734, -2.5702896118164062, -2.520124673843384, -2.4637014865875244, -2.4016458988189697, -2.334313154220581, -2.261828899383545, -2.183973789215088, -2.101728916168213, -2.0152878761291504, -1.9244481325149536, -1.8298125267028809, -1.7315609455108643, -1.6299128532409668, -1.5248781442642212, -1.4162635803222656, -1.3042783737182617, -1.189466953277588, -1.0718398094177246, -0.9514487981796265, -0.829076886177063, -0.7048248052597046, -0.5788059234619141, -0.4510096311569214, -0.3228229880332947, -0.19503389298915863, -0.06739388406276703, 0.0594562292098999, 0.18550413846969604, 0.31053224205970764, 0.4341367483139038, 0.5554478764533997, 0.6731256246566772, 0.7858535051345825, 0.8937827348709106, 0.9958405494689941, 1.0901826620101929, 1.1766159534454346, 1.2543418407440186, 1.3221222162246704, 1.379634141921997, 1.4274080991744995, 1.4658982753753662, 1.4965927600860596, 1.520930528640747, 1.5398772954940796, 1.5542125701904297, 1.5645281076431274, 1.571845293045044, 1.5764000415802002, 1.5791009664535522, 1.5797199010849, 1.5788778066635132, 1.5766425132751465, 1.5733287334442139, 1.5692895650863647, 1.5647382736206055, 1.5597363710403442, 1.5544332265853882, 1.5489121675491333, 1.5431444644927979, 1.5371992588043213, 1.531142234802246, 1.525010585784912, 1.5187885761260986, 1.5125235319137573, 1.5062121152877808, 1.4999055862426758, 1.493623971939087, 1.487417221069336, 1.481238842010498, 1.4750816822052002, 1.4689321517944336, 1.462856411933899, 1.456873893737793, 1.4509494304656982, 1.445075511932373, 1.439225435256958, 1.4334025382995605, 1.427573561668396, 1.4217779636383057, 1.415999412536621, 1.4102251529693604, 1.4044798612594604, 1.3987535238265991, 1.393015742301941, 1.3872969150543213, 1.3815932273864746, 1.3758912086486816, 1.3702327013015747, 1.3645957708358765, 1.3589938879013062, 1.3534095287322998, 1.347826600074768, 1.342248797416687, 1.3367159366607666, 1.3311834335327148, 1.3256902694702148, 1.3202264308929443, 1.314759373664856, 1.3092976808547974, 1.303879737854004, 1.2984989881515503, 1.2931239604949951, 1.2877353429794312, 1.2823904752731323, 1.2770925760269165, 1.2717690467834473, 1.2664718627929688, 1.2612009048461914, 1.2559266090393066, 1.2506283521652222, 1.2453550100326538, 1.240051031112671, 1.2347538471221924, 1.2294518947601318, 1.2241308689117432, 1.2188233137130737, 1.2134779691696167, 1.2081478834152222, 1.2027908563613892, 1.1973217725753784, 1.191610336303711, 1.1855015754699707, 1.178858995437622, 1.1717594861984253, 1.1637580394744873, 1.1545418500900269, 1.1438627243041992, 1.1311084032058716, 1.115649938583374, 1.096853256225586, 1.0746166706085205, 1.0486971139907837, 1.0188387632369995, 0.9850831627845764, 0.9470651149749756, 0.9038527011871338, 0.8552819490432739, 0.801508903503418, 0.7413067817687988, 0.6744460463523865, 0.6003002524375916, 0.5190560817718506, 0.43158531188964844, 0.33775559067726135, 0.237688347697258, 0.13216616213321686, 0.021679213270545006, -0.0931609570980072, -0.2112002670764923, -0.33227697014808655, -0.45547056198120117, -0.5790356993675232, -0.7029044032096863, -0.8266643285751343, -0.9494048357009888, -1.070128083229065, -1.1884832382202148, -1.3036469221115112, -1.4150470495224, -1.5224276781082153, -1.6254361867904663, -1.7243646383285522, -1.819188117980957, -1.9097391366958618, -1.9956161975860596, -2.0774219036102295, -2.1554086208343506, -2.2294111251831055, -2.298792839050293, -2.3630881309509277]"
