Irms,Power,In,Un
2.159273862838745,455.4939575195312,0.4418100714683533,60.55956649780273
2.159273862838745,455.4939575195312,1.765557885169983,-40.36371231079102
2.159273862838745,455.4939575195312,1.851026058197021,-128.8204803466797
2.159273862838745,455.4939575195312,1.97014331817627,-212.4748229980469
2.159273862838745,455.4939575195312,1.946813225746155,-272.1385803222656
2.159273862838745,455.4939575195312,2.087465763092041,-305.3670349121094
2.159273862838745,455.4939575195312,2.125937461853027,-307.1244201660156
2.159273862838745,455.4939575195312,2.138948678970337,-300.1415405273438
2.159273862838745,455.4939575195312,1.627821564674377,-227.6784515380859
2.159273862838745,455.4939575195312,1.263964891433716,-147.5606689453125
2.159273862838745,455.4939575195312,1.124434113502502,-56.00592803955078
2.159273862838745,455.4939575195312,0.9567503929138184,44.97333145141602
2.159273862838745,455.4939575195312,-0.6313655376434326,143.8779602050781
2.159273862838745,455.4939575195312,-2.032169342041016,224.73291015625
2.159273862838745,455.4939575195312,-2.906704425811768,277.2769775390625
2.159273862838745,455.4939575195312,-3.544687271118164,305.1524047851562
2.159273862838745,455.4939575195312,-3.645634174346924,304.7013854980469
2.159273862838745,455.4939575195312,-3.51664662361145,297.8585205078125
2.159273862838745,455.4939575195312,-2.027122020721436,225.0657348632812
2.159273862838745,455.4939575195312,-0.6723050475120544,136.0459594726562
2.159273862838745,455.4939575195312,0.6521157026290894,45.59541320800781
2.159273862838745,455.4939575195312,1.777671337127686,-56.70887756347656
2.159273862838745,455.4939575195312,1.947934985160828,-158.0956268310547
2.159273862838745,455.4939575195312,1.98865008354187,-236.6706237792969
2.159273862838745,455.4939575195312,2.017924547195435,-280.0576782226562
2.159273862838745,455.4939575195312,2.145005226135254,-306.987548828125
2.159273862838745,455.4939575195312,2.183252811431885,-306.3157043457031
2.159273862838745,455.4939575195312,2.117861986160278,-294.17578125
2.159273862838745,455.4939575195312,1.571179151535034,-212.3379669189453
2.159273862838745,455.4939575195312,1.235699892044067,-121.8718490600586
2.159273862838745,455.4939575195312,1.091233849525452,-27.79457092285156
2.159273862838745,455.4939575195312,0.5447757244110107,72.60616302490234
2.159273862838745,455.4939575195312,-1.161896586418152,160.0800476074219
2.159273862838745,455.4939575195312,-2.260196685791016,237.5291137695312
2.159273862838745,455.4939575195312,-3.105906009674072,284.4433288574219
2.159273862838745,455.4939575195312,-3.654382944107056,306.0544128417969
2.159273862838745,455.4939575195312,-3.713605165481567,304.5801086425781
2.159273862838745,455.4939575195312,-3.575420141220093,291.0000610351562
2.159273862838745,455.4939575195312,-1.991005420684814,210.6676483154297
2.159273862838745,455.4939575195312,-0.4659251272678375,121.1626815795898
2.159273862838745,455.4939575195312,0.9016783237457277,41.27505874633789
2.159273862838745,455.4939575195312,1.785074234008789,-60.89548873901367
2.159273862838745,455.4939575195312,1.955337643623352,-161.1966857910156
2.159273862838745,455.4939575195312,2.021738290786743,-239.8152465820312
2.159273862838745,455.4939575195312,2.070528984069824,-281.9705505371094
2.159273862838745,455.4939575195312,2.17753267288208,-306.9968566894531
2.159273862838745,455.4939575195312,2.200189590454102,-306.328125
2.159273862838745,455.4939575195312,2.110571384429932,-291.1275939941406
2.159273862838745,455.4939575195312,1.558617115020752,-208.4561767578125
2.159273862838745,455.4939575195312,1.229979515075684,-129.2466125488281
2.159273862838745,455.4939575195312,1.101104259490967,-36.55968856811523
2.159273862838745,455.4939575195312,0.6601914763450623,64.97322845458984
2.159273862838745,455.4939575195312,-1.039751052856445,164.0147094726562
2.159273862838745,455.4939575195312,-2.31515645980835,240.5182037353516
2.159273862838745,455.4939575195312,-3.040290355682373,281.0996704101562
2.159273862838745,455.4939575195312,-3.64451265335083,305.8957824707031
2.159273862838745,455.4939575195312,-3.721007585525513,304.9937744140625
2.159273862838745,455.4939575195312,-3.654158353805542,295.0871276855469
2.159273862838745,455.4939575195312,-2.082306146621704,217.4421234130859
2.159273862838745,455.4939575195312,-0.5546460747718811,128.9480285644531
2.159273862838745,455.4939575195312,0.7935532927513123,48.81156539916992
2.159273862838745,455.4939575195312,1.788775563240051,-53.25011444091797
2.159273862838745,455.4939575195312,1.960160851478577,-154.176513671875
2.159273862838745,455.4939575195312,2.017027378082275,-233.4513549804688
2.159273862838745,455.4939575195312,2.091615676879883,-278.1883239746094
2.159273862838745,455.4939575195312,2.195366621017456,-306.9782104492188
2.159273862838745,455.4939575195312,2.227557182312012,-306.4183044433594
2.159273862838745,455.4939575195312,2.177083969116211,-296.1913146972656
2.159273862838745,455.4939575195312,1.624681115150452,-227.0875091552734
2.159273862838745,455.4939575195312,1.237382292747498,-135.5296478271484
2.159273862838745,455.4939575195312,1.114227294921875,-44.23305892944336
2.159273862838745,455.4939575195312,0.7811031341552734,57.52380752563477
2.159273862838745,455.4939575195312,-0.9191758632659912,156.1951599121094
2.159273862838745,455.4939575195312,-2.250887155532837,225.2647857666016
2.159273862838745,455.4939575195312,-3.007538795471191,277.4231567382812
2.159273862838745,455.4939575195312,-3.643839597702026,304.9906616210938
2.159273862838745,455.4939575195312,-3.753759384155273,304.6578674316406
2.159273862838745,455.4939575195312,-3.63318395614624,297.8554077148438
2.159273862838745,455.4939575195312,-2.301697015762329,225.3674011230469
2.159273862838745,455.4939575195312,-0.6457224488258362,135.2496948242188
2.159273862838745,455.4939575195312,0.6855403184890747,55.70732879638672
2.159273862838745,455.4939575195312,1.793486356735229,-45.40878677368164
2.159273862838745,455.4939575195312,1.964534997940063,-146.1734466552734
2.159273862838745,455.4939575195312,2.045516729354858,-227.2056884765625
2.159273862838745,455.4939575195312,2.123245716094971,-280.1385192871094
2.159273862838745,455.4939575195312,2.263449430465698,-305.6251831054688
2.159273862838745,455.4939575195312,2.340505599975586,-306.7262573242188
