Irms,Power,In,Un
2.020219326019287,432.0531616210938,1.902733325958252,-312.038818359375
2.020219326019287,432.0531616210938,1.954777002334595,-311.466552734375
2.020219326019287,432.0531616210938,1.922922611236572,-296.7170104980469
2.020219326019287,432.0531616210938,1.558505177497864,-210.8169555664062
2.020219326019287,432.0531616210938,1.320943713188171,-115.2933502197266
2.020219326019287,432.0531616210938,1.167392492294312,-13.85685157775879
2.020219326019287,432.0531616210938,0.4932928681373596,83.2001953125
2.020219326019287,432.0531616210938,-1.074521541595459,182.7953186035156
2.020219326019287,432.0531616210938,-2.338037729263306,259.69384765625
2.020219326019287,432.0531616210938,-3.078313589096069,295.6532287597656
2.020219326019287,432.0531616210938,-3.446881294250488,311.2550354003906
2.020219326019287,432.0531616210938,-3.480193614959717,309.8055725097656
2.020219326019287,432.0531616210938,-3.17970871925354,279.3018188476562
2.020219326019287,432.0531616210938,-1.64958131313324,193.3489379882812
2.020219326019287,432.0531616210938,-0.1177711486816406,94.77088928222656
2.020219326019287,432.0531616210938,1.302773237228394,9.76044750213623
2.020219326019287,432.0531616210938,1.741330504417419,-90.22970581054688
2.020219326019287,432.0531616210938,1.749294281005859,-188.2229766845703
2.020219326019287,432.0531616210938,1.766006350517273,-264.194580078125
2.020219326019287,432.0531616210938,1.829939365386963,-303.9237670898438
2.020219326019287,432.0531616210938,1.902957558631897,-313.2643432617188
2.020219326019287,432.0531616210938,1.93144690990448,-309.979736328125
2.020219326019287,432.0531616210938,1.857307195663452,-275.1618957519531
2.020219326019287,432.0531616210938,1.481112480163574,-186.1296997070312
2.020219326019287,432.0531616210938,1.274059534072876,-85.90934753417969
2.020219326019287,432.0531616210938,1.134865283966064,14.17100048065186
2.020219326019287,432.0531616210938,0.0560814999043941,111.2218246459961
2.020219326019287,432.0531616210938,-1.405851244926453,201.9834136962891
2.020219326019287,432.0531616210938,-2.547109603881836,270.7606811523438
2.020219326019287,432.0531616210938,-3.212460517883301,303.7402954101562
2.020219326019287,432.0531616210938,-3.42702841758728,312.0170593261719
2.020219326019287,432.0531616210938,-3.444413661956787,308.0139770507812
2.020219326019287,432.0531616210938,-2.802056312561035,257.1651000976562
2.020219326019287,432.0531616210938,-1.212482094764709,167.6881103515625
2.020219326019287,432.0531616210938,0.2732290625572205,70.1987075805664
2.020219326019287,432.0531616210938,1.674144983291626,-17.6422119140625
2.020219326019287,432.0531616210938,1.747275233268738,-118.0647201538086
2.020219326019287,432.0531616210938,1.755463242530823,-207.9242706298828
2.020219326019287,432.0531616210938,1.76948356628418,-274.72021484375
2.020219326019287,432.0531616210938,1.867401719093323,-309.2177124023438
2.020219326019287,432.0531616210938,1.943897008895874,-313.164794921875
2.020219326019287,432.0531616210938,1.938961863517761,-307.6780395507812
2.020219326019287,432.0531616210938,1.763651013374329,-251.3081970214844
2.020219326019287,432.0531616210938,1.365696787834167,-160.3693084716797
2.020219326019287,432.0531616210938,1.233344435691833,-61.9063720703125
2.020219326019287,432.0531616210938,1.082260847091675,38.93603897094727
2.020219326019287,432.0531616210938,-0.3842704296112061,139.9899444580078
2.020219326019287,432.0531616210938,-1.746153593063354,227.2741241455078
2.020219326019287,432.0531616210938,-2.745750188827515,282.3624877929688
2.020219326019287,432.0531616210938,-3.346831798553467,308.6702575683594
2.020219326019287,432.0531616210938,-3.488381862640381,311.6220397949219
2.020219326019287,432.0531616210938,-3.480978965759277,305.2674865722656
2.020219326019287,432.0531616210938,-2.365966320037842,233.47314453125
2.020219326019287,432.0531616210938,-0.8128453493118286,141.7255554199219
2.020219326019287,432.0531616210938,0.6171208620071411,45.69183349609375
2.020219326019287,432.0531616210938,1.740321159362793,-43.40568923950195
2.020219326019287,432.0531616210938,1.74716317653656,-146.2045440673828
2.020219326019287,432.0531616210938,1.766455173492432,-234.6271057128906
2.020219326019287,432.0531616210938,1.800104141235352,-286.6268310546875
2.020219326019287,432.0531616210938,1.910360217094421,-311.4696350097656
2.020219326019287,432.0531616210938,1.957805275917053,-312.2876586914062
2.020219326019287,432.0531616210938,1.940307855606079,-305.3887939453125
2.020219326019287,432.0531616210938,1.640271782875061,-227.4763031005859
2.020219326019287,432.0531616210938,1.34707772731781,-133.8189086914062
2.020219326019287,432.0531616210938,1.200480699539185,-34.73077011108398
2.020219326019287,432.0531616210938,0.7599043250083923,64.83014678955078
2.020219326019287,432.0531616210938,-0.790749192237854,165.1344451904297
2.020219326019287,432.0531616210938,-2.135695695877075,248.882080078125
2.020219326019287,432.0531616210938,-2.902666330337524,293.6189880371094
2.020219326019287,432.0531616210938,-3.386313199996948,310.6951293945312
2.020219326019287,432.0531616210938,-3.495335578918457,310.7200317382812
2.020219326019287,432.0531616210938,-3.364441394805908,293.0809020996094
2.020219326019287,432.0531616210938,-1.969357967376709,210.3814697265625
2.020219326019287,432.0531616210938,-0.4393424689769745,115.5421676635742
2.020219326019287,432.0531616210938,1.025394201278687,15.69509792327881
2.020219326019287,432.0531616210938,1.747275233268738,-70.88299560546875
2.020219326019287,432.0531616210938,1.75557541847229,-172.0488891601562
2.020219326019287,432.0531616210938,1.765782117843628,-254.4434814453125
2.020219326019287,432.0531616210938,1.77666187286377,-297.7372131347656
2.020219326019287,432.0531616210938,1.907107472419739,-312.8475341796875
2.020219326019287,432.0531616210938,1.967339038848877,-311.3265380859375
2.020219326019287,432.0531616210938,1.918099641799927,-279.9208068847656
2.020219326019287,432.0531616210938,1.529454708099365,-204.2664489746094
2.020219326019287,432.0531616210938,1.297613859176636,-104.6215438842773
2.020219326019287,432.0531616210938,1.152362704277039,-4.982867240905762
2.020219326019287,432.0531616210938,0.3580242693424225,91.7444839477539
2.020219326019287,432.0531616210938,-1.187133193016052,188.7797393798828
2.020219326019287,432.0531616210938,-2.419692516326904,263.4387817382812
2.020219326019287,432.0531616210938,-3.095362663269043,298.4432373046875
2.020219326019287,432.0531616210938,-3.433085441589355,311.5194091796875
2.020219326019287,432.0531616210938,-3.478959798812866,309.3545532226562
2.020219326019287,432.0531616210938,-3.067209482192993,273.0717163085938
